time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-30 00:00:00+00:00,20,7,12,9
2026-07-01 00:00:00+00:00,2,2,10,6
2026-07-02 00:00:00+00:00,10,5,10,10
2026-07-03 00:00:00+00:00,16,7,9,9
2026-07-04 00:00:00+00:00,17,8,12,10
2026-07-05 00:00:00+00:00,18,8,30,13
2026-07-06 00:00:00+00:00,21,7,15,12
2026-07-07 00:00:00+00:00,42,16,5,4
2026-07-08 00:00:00+00:00,10,4,5,4
2026-07-09 00:00:00+00:00,3,3,13,10
2026-07-10 00:00:00+00:00,8,3,10,8
2026-07-11 00:00:00+00:00,1,1,15,11
2026-07-12 00:00:00+00:00,15,5,21,13
2026-07-13 00:00:00+00:00,26,9,9,7
