time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-22 00:00:00+00:00,18,12,27,15
2026-02-23 00:00:00+00:00,6,4,26,18
2026-02-24 00:00:00+00:00,16,8,27,22
2026-02-25 00:00:00+00:00,10,6,59,24
2026-02-26 00:00:00+00:00,6,4,21,16
2026-02-27 00:00:00+00:00,9,3,40,21
2026-02-28 00:00:00+00:00,16,10,37,18
2026-03-01 00:00:00+00:00,6,4,32,22
2026-03-02 00:00:00+00:00,7,5,16,10
2026-03-03 00:00:00+00:00,17,6,31,19
2026-03-04 00:00:00+00:00,22,8,37,21
2026-03-05 00:00:00+00:00,12,6,26,15
2026-03-06 00:00:00+00:00,10,4,14,11
2026-03-07 00:00:00+00:00,8,4,27,12
