time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-06 00:00:00+00:00,21,7,15,12
2026-07-07 00:00:00+00:00,42,16,5,4
2026-07-08 00:00:00+00:00,10,4,5,4
2026-07-09 00:00:00+00:00,3,3,13,10
2026-07-10 00:00:00+00:00,8,3,10,8
2026-07-11 00:00:00+00:00,1,1,15,11
2026-07-12 00:00:00+00:00,15,5,21,13
2026-07-13 00:00:00+00:00,26,9,9,7
2026-07-14 00:00:00+00:00,16,7,16,8
2026-07-15 00:00:00+00:00,25,8,10,4
2026-07-16 00:00:00+00:00,8,3,8,6
2026-07-17 00:00:00+00:00,10,6,19,16
2026-07-18 00:00:00+00:00,1,1,17,15
2026-07-19 00:00:00+00:00,8,3,20,10
