time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-02 00:00:00+00:00,7,5,16,10
2026-03-03 00:00:00+00:00,17,6,31,19
2026-03-04 00:00:00+00:00,22,8,37,21
2026-03-05 00:00:00+00:00,12,6,26,15
2026-03-06 00:00:00+00:00,10,4,14,11
2026-03-07 00:00:00+00:00,8,4,27,12
2026-03-08 00:00:00+00:00,13,7,22,15
2026-03-09 00:00:00+00:00,19,9,16,10
2026-03-10 00:00:00+00:00,14,6,22,9
2026-03-11 00:00:00+00:00,15,7,12,11
2026-03-12 00:00:00+00:00,11,5,17,13
2026-03-13 00:00:00+00:00,14,7,29,19
2026-03-14 00:00:00+00:00,15,8,26,15
2026-03-15 00:00:00+00:00,13,7,36,16
